app_id,current_player,peak_today
10,4315,15442
1046930,14826,22787
105600,21266,26121
107410,6998,16786
1085660,62368,80575
1089350,20572,29210
1100600,26345,64324
1147690,5300,6250
1174180,13717,21184
203770,4574,8258
218,16536,51349
218620,22464,25561
219990,7082,11117
221100,10586,20698
221380,4003,7381
227300,7001,24664
230410,38301,50242
233860,3795,4704
236390,11935,18870
236850,7915,18289
238960,6914,14988
239140,8020,12842
242760,3404,6393
244850,4300,8293
250900,4671,6351
251570,10745,15231
252490,20706,41914
252950,25757,62107
255710,8694,12380
271590,91186,151737
275850,5798,8101
281990,7702,10403
289070,20952,26870
291550,6007,14449
292030,12850,22388
294100,25471,29712
304930,18509,20966
306130,10726,17904
322330,11728,20448
346110,77448,120476
3590,7170,7863
359550,79646,142042
367520,3928,4483
374320,7027,9877
377160,9799,14099
381210,16528,29461
386360,9252,14427
39210,13632,18501
394360,13996,27490
4000,13180,30871
413150,21417,24656
424370,12311,27497
427520,6184,10553
431960,25683,35171
435150,13235,17874
438100,7911,8582
440,52815,62076
440900,7128,11066
444090,6264,12180
444200,6777,22115
457140,5503,7079
477160,7354,17314
47890,3441,3998
480,4529,10030
48700,8893,13470
489830,10231,14730
49520,4402,5422
524220,4918,7315
548430,7267,9884
550,9857,16509
552520,3608,5483
552990,11547,17588
570,311082,593276
578080,210745,532433
582010,67533,128078
582660,19448,30875
594570,13202,22666
594650,5335,10104
601510,5736,7534
627690,3389,4031
632360,4454,5060
646570,7956,8820
648800,3866,7355
706220,3712,6392
72850,4530,8984
730,368389,811344
745920,3919,5039
766570,4294,6962
779340,8963,13882
787860,5106,17625
812140,4228,6733
813780,6834,12324
814380,5350,7354
836620,6303,11129
841370,3830,5675
872410,4358,8160
872790,8277,15831
8930,15246,22444
976730,23333,29406
996470,3394,11702